id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1B1Y52ftMyCmgjPsEMQDqq,0.787,0.516,7,-12.792,1,0.0332,0.66,1.1e-05,0.293,0.882,108.19,286667
6UGlSlhwl2MNhsrg5Wepq3,0.928,0.594,2,-10.839,1,0.0913,0.127,0.000413,0.0391,0.747,102.878,339053
3N7GqZMpZJW69Te1bfUTc3,0.673,0.613,7,-11.997,1,0.0799,0.00436,0.362,0.608,0.415,114.748,337267
0tBTnrMcc91qKP9dHqhsS7,0.584,0.474,11,-9.431,1,0.0296,0.0366,0.000363,0.0518,0.651,160.173,262867
15Mh8m2BGTUptR8yy7fNAS,0.752,0.307,9,-17.063,1,0.0398,0.332,0.000135,0.0829,0.854,106.158,194173
38w6aqERgBYjyvWQsltcvs,0.628,0.868,0,-4.924,1,0.0334,0.0686,0.0805,0.212,0.863,120.197,269800
3PQEaRs2JEwtk79IqbQYt1,0.701,0.878,7,-7.911,1,0.035,2.79e-05,0.522,0.0608,0.875,130.512,251973
0Lx6O1tC3CPF1giLJIt5Jv,0.188,0.497,0,-9.778,1,0.0398,0.216,0.0,0.152,0.527,205.253,323867
0FBeVAGy58YREuZK2rpRVm,0.94,0.727,1,-9.982,1,0.0358,0.124,0.00021,0.0808,0.969,110.8,296467
7A3rywP8wA9HbL36NMnD81,0.731,0.63,11,-8.275,1,0.0318,0.206,0.106,0.11,0.361,114.313,241320
4oWQeGyPFyr4EpTrv5v0gJ,0.634,0.801,9,-6.198,0,0.0258,0.075,3.02e-06,0.139,0.659,113.622,237693
1NlJv9YBuvgbb9pO51vqOY,0.577,0.893,2,-5.113,1,0.087,0.147,0.802,0.0864,0.86,142.424,199693
6tYhUkkjnsR0wRfHAM7cQD,0.76,0.411,6,-16.373,1,0.0588,0.00606,0.4,0.0491,0.402,118.785,345627
52s6Ea6aSZMvPUIH0dSpk4,0.634,0.615,0,-11.145,1,0.0412,0.0635,5.1e-05,0.0551,0.519,133.601,230373
