id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0UWKTbxbcc4kPH9YuQLlys,0.652,0.684,8,-7.109,0,0.0489,0.212,0.0,0.0964,0.569,100.049,163212
26hOm7dTtBi0TdpDGl141t,0.472,0.518,8,-7.379,1,0.051,0.383,0.127,0.289,0.154,147.805,211667
2so0tpvrhkMMrJxWlBsXqd,0.601,0.899,7,-4.172,1,0.0572,0.22,0.0,0.233,0.63,120.06,181800
5jFPt5bxLakQzgjPdEEuMV,0.378,0.511,4,-9.63,1,0.0411,0.568,0.0,0.424,0.226,166.166,170506
32puey2xH7NnpYXNO37GBB,0.68,0.49,7,-7.632,1,0.0423,0.145,0.0226,0.117,0.375,93.987,248164
3h6MzTmKYidaQVvZyshj5j,0.752,0.524,9,-10.331,1,0.0442,0.0701,0.00269,0.113,0.642,150.054,127184
4O8Nn5GUZSpM290sRm179Y,0.634,0.719,2,-6.368,1,0.0438,0.11,0.00036,0.0258,0.734,160.043,171000
625At0xIapi2FV12iWXHxG,0.778,0.759,6,-4.44,1,0.0368,0.223,0.00102,0.126,0.93,119.958,168568
6AXCdCWYzm7e4TY1TcwL86,0.582,0.552,7,-6.022,1,0.037,0.178,2.07e-06,0.103,0.555,187.477,143451
3F5CgOj3wFlRv51JsHbxhe,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,218365
3uBzgnU3h0Phn76VqUoU3Z,0.783,0.841,11,-3.627,0,0.151,0.038,1.63e-05,0.103,0.687,111.977,167143
5YdnOm5990Kfq1Jodws98B,0.616,0.841,5,-4.779,0,0.076,0.0559,0.00217,0.417,0.714,110.029,154561
4h9wh7iOZ0GGn8QVp4RAOB,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,148486
2WfXeysdQU1jY2jB6o5kAZ,0.816,0.537,1,-7.529,0,0.0373,0.112,3.82e-06,0.0823,0.494,107.976,163889
5e6ZAqGUUko1SmhLAzBTXo,0.667,0.745,8,-8.719,1,0.0288,0.143,0.000517,0.113,0.83,146.036,208858
7Kgcz89XMfj4WHtm5nd3mJ,0.832,0.759,0,-4.853,1,0.0767,0.139,0.0533,0.0875,0.304,117.01,175897
4agW1Ysb2m7DVkKA3AAsd9,0.651,0.536,1,-10.74,0,0.0338,0.359,0.0471,0.117,0.129,123.02,179512
4Dvkj6JhhA12EX05fT7y2e,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303
3WDyQV8e7Jo8ADMDIUZEqT,0.847,0.603,9,-9.887,0,0.15,0.0204,0.119,0.0882,0.822,109.984,138855
6ofVB09Te3gJF2V1iFilYK,0.814,0.738,1,-6.046,0,0.121,0.436,0.0229,0.102,0.329,169.973,136412
4MPYVbrvqXJxQbmAhZUGSZ,0.68,0.541,11,-7.304,0,0.161,0.503,0.000147,0.137,0.444,176.16,190909
1edUbfLKsZtb3TyHEiMqGd,0.51,0.653,7,-5.625,1,0.0283,0.0273,0.0,0.346,0.622,84.005,169875
7EyRuH2SOKHkE8bdWukbPh,0.685,0.579,10,-7.12,1,0.0418,0.785,0.0,0.109,0.357,109.885,197355
3tYdxyAZhguwJPe3k3gm1s,0.614,0.506,7,-7.186,1,0.0602,0.0769,4.5e-06,0.371,0.466,125.807,182265
