id,danceability,energy,key,loudness,acousticness,valence,tempo,cluster
3qxX9RmaAXP2xZaxRld5Rh,0.593,0.528,2,-13.055,0.0724,0.336,165.946,10
4SP8PMCCPTpkjx0tAIRZFG,0.89,0.427,6,-8.405,0.177,0.136,130.118,58
4qLwxPVXlBxYwNHrcDHVvw,0.626,0.714,7,-7.747,0.192,0.57,148.161,31
60R8NAhVOFtagzFvdbaoMp,0.824,0.672,1,-5.256,0.00937,0.352,139.974,41
4J5jvzfg1AIDovVnYZQRnR,0.698,0.582,11,-8.58,0.0233,0.104,97.067,14
1eE1nrR17EeJLXTn67n845,0.746,0.679,0,-9.42,0.674,0.738,120.995,26
2zxN1Kc2uRR9SoaOFgBs3p,0.71,0.652,0,-5.306,0.0114,0.358,88.031,29
4AgZ3eQ51FWQgo4KYCd1yd,0.63,0.553,2,-8.049,0.4,0.448,87.925,46
4XdeBDww4NDuVm22yeMhef,0.612,0.556,0,-10.352,0.21,0.621,180.04,41
5A6OHHy73AR5tLxgTc98zz,0.684,0.834,2,-4.524,0.0646,0.538,164.02,41
4mxV2QEHe9cwrQJmUkjdJq,0.717,0.544,4,-8.111,0.74,0.469,105.593,46
4nva9EpKntUTs6CRSGBCn9,0.489,0.692,1,-6.672,0.0322,0.527,96.946,54
0Ed7MeXx64f6OcIuoTRCg1,0.765,0.88,1,-4.361,0.176,0.929,168.96,61
0p4eGfm1TCjaUa7b6zsPqZ,0.925,0.916,1,-4.057,0.0496,0.639,116.998,68
59q0gDvWPoL2DQ1SAt5ZLY,0.67,0.788,11,-2.43,0.00225,0.292,82.498,36
3yfqSUWxFvZELEM4PmlwIR,0.949,0.661,5,-4.244,0.0302,0.76,104.504,28
6mcu7D7QuABVwUGDwovOEh,0.886,0.626,11,-2.528,0.265,0.856,93.989,28
5STdMlrBf6pqWiNE7WqxSi,0.589,0.827,11,-2.938,0.0143,0.386,161.978,0
69aGQA9RqsvC8KpZOluneL,0.653,0.802,1,-7.03,0.0707,0.319,164.076,41
70FCugJxa7XW04Np6iYJdI,0.646,0.813,6,-3.846,0.349,0.895,92.729,59
7b7vlu6R3ww0Hzvz50GQDh,0.65,0.636,1,-7.329,0.0277,0.395,120.873,29
6TYPoBrn53njY2C0WwdmA1,0.799,0.76,2,-3.318,0.271,0.543,99.994,68
3G0yz3DZn3lfraledmBCT0,0.712,0.772,10,-3.024,0.0521,0.848,84.722,59
0125Xv5dFultDCQOzLc9wx,0.761,0.642,3,-8.31,0.473,0.614,157.015,52
69bHJ9qs5FrUJbKP8xU8uZ,0.925,0.659,3,-4.763,0.206,0.71,97.018,30
7sKt5Y2zJpYw78iAxndB8y,0.802,0.787,11,-6.009,0.00127,0.806,90.189,28
6tDxrq4FxEL2q15y37tXT9,0.773,0.54,6,-7.123,0.371,0.322,84.115,7
5nYPCNHvYzlsp5UVR0Uhgf,0.742,0.768,7,-5.21,0.000932,0.664,96.802,28
2kzRSiyignH8yzPTrWvyPo,0.653,0.711,9,-6.454,0.109,0.769,160.048,55
0osPX8TruIebOhKuG6GK8C,0.72,0.514,1,-7.108,0.146,0.212,142.98,10
7xXvPyOiFCsB5SSpio5g38,0.546,0.795,11,-5.825,0.253,0.572,93.221,36
0nKZeSrqH9u31NLoTUsYBR,0.767,0.864,10,-1.847,0.0116,0.747,85.475,59
7rUchbZxrhF29Q0vYjKEU0,0.795,0.852,0,-2.238,0.0442,0.673,95.44,15
3jdh7YQBCxykbhL7z0Ehu5,0.531,0.799,10,-2.76,0.0459,0.631,165.964,21
6kfQDanT6Buh4Wu73ghbav,0.63,0.782,8,-5.44,0.0828,0.418,140.144,31
5H0CQ5BCa3BkMpn62Dts7x,0.604,0.703,8,-5.613,0.0138,0.382,167.93,55
6LwrEZNkvFTOypNwSLjuaJ,0.849,0.904,8,-4.78,0.0248,0.854,99.258,28
0RvnQ7hMgtXeJn8VdEhKu1,0.687,0.796,7,-6.713,0.0989,0.37,94.625,14
2g7uRZ68eLtv74XrxgdT2q,0.715,0.655,0,-6.425,0.0525,0.531,95.078,29
1HCPjfa02m5JwcO37LHfYb,0.803,0.773,0,-3.628,0.0107,0.708,91.915,15
4woTEX1wYOTGDqNXuavlRC,0.802,0.755,4,-3.138,0.0215,0.58,130.027,9
