id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1eK5Ne2YPvP3XC7uOoCnRW,0.649,0.558,9,-8.302,0,0.0348,0.026,0.0,0.11,0.172,139.986,241067
3TBKrVTg9NFJKrFpjwUay4,0.443,0.476,5,-7.253,0,0.0285,0.795,0.000179,0.113,0.142,124.194,231067
4cIPLtg1avt2Jm3ne9S1zy,0.535,0.651,10,-6.326,1,0.0544,0.391,0.0,0.133,0.612,117.218,179600
42d6bxB7OQ6f8ct2ihYNBw,0.276,0.909,9,-3.664,1,0.0618,0.00016,4.76e-06,0.0933,0.344,138.497,338147
1TvWynhpfL81aLBd84OSBF,0.312,0.949,9,-3.533,1,0.0784,0.00185,1.78e-05,0.0569,0.65,154.795,326200
2M38zNMI7gCoCwfEUZQPq5,0.317,0.958,9,-4.051,1,0.0989,0.00089,0.000184,0.103,0.422,137.921,460000
1tlU33QzdVtUL82H1DYZET,0.296,0.929,9,-3.068,1,0.0751,0.000722,5.83e-06,0.349,0.411,123.709,558520
7HXtpmFjqt4Wv6T8y5lVz3,0.813,0.547,2,-5.936,1,0.0344,0.00104,0.00335,0.0914,0.8,119.998,257213
3HhCeycsABEO9bK6PTGgTO,0.76,0.58,5,-5.082,0,0.0388,0.00732,0.000667,0.0305,0.975,99.981,223187
3RfdfxN5wjV0Mz5o4bNSyi,0.688,0.808,1,-5.619,0,0.0445,0.00126,0.00184,0.0564,0.956,122.028,234333
4RCpSx68WOeCax03NdSzpn,0.782,0.769,9,-6.56,1,0.0384,0.0194,0.115,0.0641,0.934,116.975,241987
3ctALmweZBapfBdFiIVpji,0.712,0.5,9,-11.948,0,0.0338,0.825,0.314,0.106,0.682,90.039,322147
4zXa17K83Pp6N2yXdVc2sv,0.571,0.863,4,-7.661,0,0.048,0.257,0.0,0.532,0.782,94.299,179667
0815caqt2Lytro5EIzMufT,0.459,0.427,7,-7.734,1,0.0267,0.114,0.0,0.168,0.354,139.902,195493
1Vi8bCaz8AqucqF88ffnqI,0.638,0.587,7,-9.457,1,0.0303,0.507,0.0701,0.0938,0.781,111.829,156973
3U8UHbqKeR0jlkg8Qlwunr,0.328,0.726,3,-3.935,1,0.0312,0.0286,0.000643,0.167,0.21,134.639,277387
