id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
4675yUu8AUbE72T94BkLCD,0.893,0.74,11,-4.936,0,0.132,0.299,0.0,0.0881,0.963,101.025,299147
7iL6o9tox1zgHpKUfh9vuC,0.899,0.713,6,-2.752,0,0.366,0.255,0.0,0.0708,0.777,90.051,193467
7BMO7O7ImjV8HNTH74Tshv,0.908,0.758,9,-4.753,0,0.174,0.0687,0.0,0.0783,0.87,148.015,297840
1bl99Q4umnPomYGv3dQP67,0.663,0.777,11,-4.954,0,0.109,0.277,0.0,0.0466,0.758,92.68,270507
1v7L65Lzy0j0vdpRjJewt1,0.686,0.735,2,-4.616,1,0.264,0.00921,0.00066,0.342,0.0596,171.355,322227
4xkOaSrkexMciUUogZKVTS,0.548,0.847,1,-3.237,1,0.186,0.0622,0.0,0.0816,0.1,171.447,297787
68vgtRHr7iZHpzGpon6Jlo,0.662,0.507,5,-8.238,1,0.118,0.257,0.0,0.0465,0.676,86.412,223440
561jH07mF1jHuk7KlaeF0s,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,84.039,250760
18vdhCWxqPohnPwicDi3Xr,0.73,0.551,2,-8.172,0,0.152,0.208,0.000121,0.181,0.604,168.118,289160
0qcjuYtMWhBjXg0Xwt5SzS,0.94,0.633,8,-3.56,1,0.0467,0.0581,4.04e-05,0.281,0.962,121.003,248680
2NBQmPrOEEjA8VbeWOQGxO,0.888,0.632,1,-3.872,1,0.219,0.19,0.0,0.101,0.662,91.979,266067
2eXlwgFPe6HgFaPJO8xQHK,0.802,0.863,1,-3.552,1,0.2,0.0199,0.0,0.141,0.873,81.008,219400
4CEc6d2xDtjK43lBGov6De,0.829,0.542,8,-6.567,0,0.238,0.0778,0.0,0.23,0.191,129.032,156948
0LADfyVbuDEErWgvJOpSFW,0.631,0.934,11,-3.884,0,0.383,0.208,0.0,0.107,0.525,94.307,129435
4LYqSqGv4dx6bc299NCEW4,0.649,0.559,5,-8.711,0,0.046,0.0589,0.0,0.126,0.0987,89.982,117340
3tEJvhhUFwjmm2ROEg8Upw,0.814,0.536,8,-8.825,0,0.409,0.477,2.98e-05,0.856,0.747,99.845,177659
3aF2EvuNiSQxgk9evVpuQn,0.388,0.334,9,-12.54,1,0.132,0.318,1.99e-05,0.0979,0.225,131.977,167602
7jdzEA44GdSp4laVCF3Ztw,0.549,0.636,10,-3.923,0,0.376,0.395,0.0,0.0974,0.661,182.363,251547
1IzxkqDIsmiFxTjaNdsiqn,0.689,0.546,6,-8.624,1,0.345,0.08,0.0,0.0706,0.768,140.924,184614
503OTo2dSqe7qk76rgsbep,0.816,0.775,11,-3.323,1,0.234,0.16,0.00031,0.0543,0.527,93.431,270587
0k0NpcdYKsOBSSG9R8jZBD,0.589,0.574,11,-7.646,1,0.494,0.709,0.0,0.0934,0.611,111.179,170059
6byu1JuAS5EYNPsAJiYtCz,0.62,0.614,7,-7.004,1,0.119,0.179,0.0,0.118,0.405,131.941,127534
5knZqkX7Nz2lN5u6mC1QNS,0.886,0.568,0,-9.755,1,0.398,0.547,0.0,0.129,0.63,136.068,155768
6wzykoVk0uCNr6ohaI3H7q,0.827,0.772,5,-7.949,0,0.083,0.00357,0.000748,0.102,0.378,123.966,157852
3qxX9RmaAXP2xZaxRld5Rh,0.593,0.528,2,-13.055,1,0.225,0.0724,0.0,0.103,0.336,165.946,203916
4SP8PMCCPTpkjx0tAIRZFG,0.89,0.427,6,-8.405,0,0.215,0.177,3.5e-06,0.109,0.136,130.118,97847
4qLwxPVXlBxYwNHrcDHVvw,0.626,0.714,7,-7.747,1,0.378,0.192,0.0,0.109,0.57,148.161,220970
60R8NAhVOFtagzFvdbaoMp,0.824,0.672,1,-5.256,1,0.108,0.00937,0.0,0.181,0.352,139.974,114069
4J5jvzfg1AIDovVnYZQRnR,0.698,0.582,11,-8.58,0,0.147,0.0233,0.0,0.152,0.104,97.067,158728
1eE1nrR17EeJLXTn67n845,0.746,0.679,0,-9.42,0,0.0642,0.674,0.0,0.117,0.738,120.995,128935
2zxN1Kc2uRR9SoaOFgBs3p,0.71,0.652,0,-5.306,1,0.127,0.0114,0.0,0.105,0.358,88.031,211109
4AgZ3eQ51FWQgo4KYCd1yd,0.63,0.553,2,-8.049,0,0.0764,0.4,0.0136,0.28,0.448,87.925,148636
4XdeBDww4NDuVm22yeMhef,0.612,0.556,0,-10.352,1,0.0843,0.21,0.0,0.134,0.621,180.04,240333
5A6OHHy73AR5tLxgTc98zz,0.684,0.834,2,-4.524,0,0.0675,0.0646,0.0,0.271,0.538,164.02,217667
4mxV2QEHe9cwrQJmUkjdJq,0.717,0.544,4,-8.111,0,0.239,0.74,0.0,0.0959,0.469,105.593,208632
4nva9EpKntUTs6CRSGBCn9,0.489,0.692,1,-6.672,1,0.41,0.0322,0.00608,0.315,0.527,96.946,237707
