id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
64AwAe6HpIEGFjy0KoGsmH,0.467,0.941,1,-6.992,1,0.0359,0.00276,0.886,0.453,0.172,134.968,233849
6F85zMy5Ucjr1H6dsdZYYx,0.555,0.61,8,-11.525,0,0.0419,0.262,0.947,0.128,0.517,132.018,329337
5kB1gEMaiHS78xIDT4JbJC,0.54,0.968,3,-6.814,0,0.0481,0.000793,0.85,0.823,0.0631,140.282,669685
1tSaez12qgU8xkO478Tvgb,0.621,0.756,7,-4.398,1,0.0355,0.0394,0.941,0.0848,0.27,136.026,171232
1EWsVHU4FNAdtN4R8FETag,0.793,0.5,6,-13.108,0,0.0319,0.028,1.96e-05,0.186,0.833,123.017,243160
3pgainA2dH9c7e8JVYGRCN,0.648,0.858,9,-6.58,0,0.0323,0.00128,0.556,0.0535,0.62,119.031,272147
6vGW3d8X48CBaLdU0PQbey,0.899,0.857,0,-6.128,0,0.037,0.0499,0.0299,0.112,0.961,125.072,215533
2nx86MrPkXWQctveAEFJBf,0.797,0.752,6,-7.343,0,0.128,0.0135,0.00496,0.264,0.801,131.932,212147
5nlwajOutaUfiSayarrZTy,0.634,0.893,11,-7.432,1,0.0403,0.0619,0.00142,0.161,0.667,124.621,268373
1SjJZewpXEHRuXn7RRszQ5,0.865,0.714,6,-7.824,1,0.064,0.0841,0.657,0.0336,0.831,127.264,206920
1gsnWXeNlbfoHpaGRi4oQ0,0.609,0.905,0,-6.792,0,0.0307,0.0104,0.0,0.409,0.878,121.434,211800
6wetvpPWooBdmAEOKnDhpo,0.74,0.762,5,-7.166,0,0.0418,0.0131,0.0,0.283,0.832,127.372,223535
5sJiLlgQKBL81QCTOkoLB5,0.716,0.783,4,-12.876,0,0.0496,0.172,0.0346,0.0327,0.952,121.306,244773
6wBMTv8yTiNh50fqTkT0JC,0.712,0.785,5,-6.418,0,0.0386,0.00363,6.95e-06,0.0878,0.975,117.643,247002
0Lg4ckCFjFUeyHOeSozcWS,0.702,0.796,10,-6.99,1,0.0315,0.0759,0.00253,0.109,0.607,129.878,222667
1q8yOvrVNiZtMuEujDuSPP,0.697,0.971,0,-5.093,1,0.0428,0.00377,2.79e-05,0.138,0.89,122.274,202640
796T2ROxTNibXRjVhjSzCa,0.718,0.93,7,-4.532,1,0.038,0.0026,0.0176,0.0363,0.697,128.736,331706
2h7w0KHwHbx4WbG6WxjO7U,0.682,0.979,10,-6.496,0,0.0733,0.0649,0.882,0.14,0.277,124.188,351400
1HkPj9fZFpjAoAUigBAmJS,0.7,0.849,11,-6.561,0,0.129,0.00601,0.0193,0.284,0.449,130.988,228960
4PyhlL1vrSvPlhYLdphszr,0.677,0.935,3,-11.55,0,0.0514,0.0787,0.376,0.0787,0.965,120.11,206160
0ZBPWoRkfZ8SLcDJaFnkUu,0.71,0.625,5,-15.3,0,0.0414,0.00418,0.935,0.109,0.183,124.876,262400
5cIU5GZBbyMfgfXGcoQVYc,0.704,0.722,2,-10.815,0,0.0446,0.0287,0.00341,0.297,0.859,129.992,215227
3suUyj7jumc7N0sxNfsdPe,0.74,0.923,0,-6.64,1,0.0605,0.0156,0.0397,0.0684,0.811,121.959,230933
7uhAqFWN1GDG1IX6m3C0sm,0.711,0.72,5,-7.942,0,0.0401,0.00156,2.86e-05,0.0585,0.966,117.549,320374
5LOKOBboMIbi4moxpjuFL5,0.726,0.919,8,-13.836,1,0.045,0.000143,0.709,0.0795,0.332,120.952,194760
0ilZMeXHPKDPjUc4Neu04f,0.708,0.566,11,-10.142,0,0.0362,0.000127,0.0338,0.29,0.731,121.997,416027
1VLEbclmTbYS9Rdp1b90Yf,0.726,0.72,0,-12.68,1,0.0448,0.00101,0.032,0.352,0.659,121.953,231840
5hVUbtzEMl8BLwZCG0ZMtD,0.703,0.838,4,-11.782,0,0.0638,0.00613,0.0129,0.137,0.767,119.771,214867
7t020iFDoAjNgc4mjUMBAS,0.731,0.575,7,-13.088,1,0.0334,0.178,0.349,0.0693,0.295,128.819,205050
7HlxqDDzdWE3gK0i6fS6Bt,0.639,0.952,1,-5.905,1,0.0364,0.114,0.00267,0.0415,0.787,129.845,210133
2P3cEaLNB0qczz4BDB7Mxc,0.739,0.737,9,-7.527,0,0.0485,0.00934,0.0367,0.364,0.864,129.98,319867
547iG5F16pTdim4XlMlGEU,0.752,0.803,8,-6.223,1,0.0283,0.00249,0.0261,0.042,0.571,120.151,384000
7hnqJYCKZFW7vMoykaraZG,0.689,0.505,6,-13.846,1,0.0867,0.0133,0.818,0.345,0.564,123.948,591733
0DwAc0Z8Td3jv5frUznqu1,0.71,0.616,0,-16.306,1,0.116,0.0344,0.225,0.0936,0.398,120.385,417707
4EzZPB8OujNAeND6C2SduJ,0.742,0.734,1,-11.393,1,0.04,0.0153,0.728,0.0493,0.723,126.988,319493
2PmT3D5xmvVzZCf11L2ifX,0.686,0.634,2,-10.287,0,0.056,0.192,0.858,0.152,0.0783,119.933,485307
5eAymAmVU6CyejjFJxvcMI,0.785,0.907,4,-4.15,0,0.118,0.0156,1.14e-06,0.513,0.565,122.311,405760
2vhLsN2p6FHPPm4LfEBB3N,0.711,0.604,5,-8.675,0,0.0532,0.000882,0.818,0.0859,0.526,127.001,426000
4b5QHhUld8ba26ZJEHawFW,0.687,0.505,9,-12.141,0,0.0494,0.0959,0.9,0.0888,0.677,114.775,340813
6iNncT0HlEZNVoBQbFrdLs,0.785,0.855,11,-7.425,0,0.0678,0.00842,0.00222,0.148,0.805,123.664,390560
3ToxQ1h56CW3lA2zcGtODh,0.733,0.719,11,-7.72,0,0.0618,0.000229,0.547,0.0894,0.753,130.029,407213
4lgDZcisljVlutaku19eqV,0.596,0.979,0,-5.831,1,0.0423,0.000391,0.781,0.259,0.693,130.025,229933
1caNzSrWtZhB2UNvSt5EK0,0.739,0.826,1,-8.75,1,0.128,0.000693,0.000144,0.265,0.531,120.881,315400
10QGhgqQm0I2Y9maxrM7T6,0.803,0.84,1,-7.715,1,0.0852,0.017,0.0936,0.114,0.943,122.543,306231
2F5W5f8COoQKpoGqPcZ1EN,0.793,0.556,1,-17.884,1,0.0502,4.6e-05,0.289,0.0592,0.412,123.022,417402
6j7Fdvi61J0qwjqh1OPeFM,0.788,0.714,10,-6.953,1,0.0875,0.0206,0.0275,0.0667,0.883,129.953,493560
4a2VdX9fRz3mFuEP17TnEn,0.762,0.898,7,-6.208,0,0.142,0.000564,5.12e-06,0.122,0.349,126.657,298918
2riROGFV3u0vtPnUT1z9Sc,0.564,0.849,8,-8.352,1,0.0595,0.00972,0.784,0.108,0.503,128.68,233907
4PxoDlPrwGtmWqFA4pm57U,0.646,0.904,2,-7.058,0,0.0323,0.044,0.0105,0.0889,0.623,120.005,227440
