id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0bDuVdOEHSH42DcXyVr8Lp,0.637,0.72,5,-6.092,0,0.104,0.37,0.000132,0.124,0.367,74.945,199262
0wTTf3msjDJ8NcZGTmQJQV,0.633,0.478,8,-8.039,1,0.044,0.0558,0.0,0.202,0.441,169.961,158168
3uJFmluXzYedoJcvhpC1AW,0.878,0.685,9,-5.28,1,0.225,0.00152,0.0,0.0753,0.523,157.003,211649
0ypjMI7vHiDP4sLB1C0Qna,0.698,0.763,4,-4.718,0,0.229,0.0845,0.0,0.54,0.256,139.998,174857
2FWeNvUo79OeiHWoR1bUsO,0.665,0.666,9,-7.009,1,0.429,0.0331,0.0,0.0841,0.844,164.205,152195
5IEzVHrQ89xH7c9ygeA5NW,0.756,0.483,8,-9.426,0,0.246,0.0489,0.00076,0.103,0.359,108.574,154958
5uVW9FWVaQde0lfF4hYs4C,0.599,0.598,4,-7.015,0,0.124,0.0502,5.01e-05,0.173,0.343,179.49,192428
5IMH03AnrfH2KUxPyrrrLR,0.647,0.834,0,-4.848,1,0.332,0.315,2.05e-05,0.176,0.808,145.976,167671
7DwcBgdzqhFJltEaV1XF81,0.669,0.773,0,-5.619,1,0.153,0.038,0.0,0.113,0.377,93.923,185857
1oc92BMKYkNxK17C2GtyRM,0.713,0.689,11,-5.99,1,0.255,0.16,0.0,0.136,0.63,156.934,171319
18CyNASCwKoWiPrL6H73Ad,0.745,0.431,1,-11.077,0,0.0613,0.454,0.0,0.147,0.594,134.996,131918
6DVJ7Aqbml1X3wGxxV5QH5,0.577,0.533,5,-8.871,0,0.501,0.0957,0.0,0.127,0.799,160.088,228000
4wRJHXHDJnKSPr9IVn0BFR,0.899,0.582,11,-7.275,0,0.264,0.0395,0.0,0.1,0.505,149.973,283196
1NtyeXryylf8HWXnxVTD3v,0.614,0.744,11,-5.52,1,0.125,0.309,1.14e-06,0.173,0.589,146.02,226115
2mzlyJ8Gb8cFMJvfENKnJQ,0.545,0.545,2,-8.631,1,0.301,0.0768,0.0,0.121,0.122,163.847,105693
0g2Bbgy7P41pFjMWJuzsf4,0.718,0.461,4,-7.676,0,0.0797,0.068,0.0,0.283,0.181,129.953,178176
1a019wP7IdYLexwbmfZPm3,0.474,0.805,1,-5.997,1,0.332,0.0715,0.0,0.147,0.109,131.001,176125
5Wm9FcE7LSGKeFxWA5iRWe,0.863,0.378,10,-12.131,1,0.348,0.0542,0.0,0.114,0.256,116.948,183824
